Year,3PT
1950, 0
1951, 0
1952, 0
1953, 0
1954, 0
1955, 0
1956, 0
1957, 0
1958, 0
1959, 0
1960, 0
1961, 0
1962, 0
1963, 0
1964, 0
1965, 0
1966, 0
1967, 0
1968, 0
1969, 0
1970, 0
1971, 0
1972, 0
1973, 0
1974, 0
1975, 0
1976, 0
1977, 0
1978, 0
1979, 0
1980, 1561.0
1981, 1035.0
1982, 1206.0
1983, 1091.0
1984, 1139.0
1985, 1692.0
1986, 1886.0
1987, 2753.0
1988, 3433.0
1989, 4678.0
1990, 5050.0
1991, 5307.0
1992, 5736.0
1993, 6836.0
1994, 7646.0
1995, 12809.0
1996, 15163.0
1997, 15806.0
1998, 11706.0
1999, 6874.0
2000, 11878.0
2001, 12087.0
2002, 13230.0
2003, 12933.0
2004, 13789.0
2005, 15643.0
2006, 15325.0
2007, 15825.0
2008, 17504.0
2009, 18529.0
2010, 17336.0
2011, 18902.0
2012, 13325.0
2013, 19002.0
2014, 21004.0
2015, 22080.0
2016, 22525.0
2017, 26140.0
